PlatformName,PlatformURL,FoodType,ServiceType,BusinessModelType,BusinessNameAvailable,BusinessAddressAvailable,FHRSShown,FHRSRequiredOnRegistration,ScrapingRestrictions,ScrapingRestrictionsURL,OfficialAPIURL,RobotsURL,RobotsAllowsSearch,Javascript,LastUpdated,LastUpdatedBy
AlissaTimoshkina,https://www.alissatimoshkina.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,https://www.alissatimoshkina.com/robots.txt,No ,Yes,29/08/20,Pivigo Team
AlissaTimoshkina,https://www.alissatimoshkina.com/,Food Activities,Compilators,Blogs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,https://www.alissatimoshkina.com/robots.txt,No ,Yes,29/08/20,Pivigo Team
BishopstonSupperClub,https://restingchef.wordpress.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,https://restingchef.wordpress.com/robots.txt,Unclear,No,29/08/20,Pivigo Team
Bookaatable,https://www.bookatable.co.uk/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Yes,No,No mention,No,https://for-restaurants.bookatable.co.uk/terms-conditions/?indirect=809&gclid=EAIaIQobChMIn67fp_rZ4wIVzbHtCh3PxQ9dEAAYASAAEgJyjPD_BwE&gclsrc=aw.ds,No Official API,https://www.bookatable.co.uk/robots.txt,No,No,29/08/20,Pivigo Team
BritishStreetFood,https://britishstreetfood.co.uk/app/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No mention,No - no data access terms,No URL,No Official API,https://britishstreetfood.co.uk/robots.txt,Unclear,Yes,29/08/20,Pivigo Team
CityPantry,https://citypantry.com/,Food Activities,Intermediaries,Ordering & Logistics - Food Handling,Yes,No,No,No,Needs license,https://info.citypantry.com/terms-and-conditions-city-pantry,No Official API,https://citypantry.com/robots.txt,Yes,Yes,29/08/20,Pivigo Team
Deliveroo,https://deliveroo.co.uk/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - Food Handling,Yes,Yes,Yes,"Yes, but",No - if non-commercial,https://deliveroo.co.uk/legal,https://developers.deliveroo.com/partner-api/introduction,https://deliveroo.co.uk/robots.txt,Yes,Yes,29/08/20,Pivigo Team
Deliveroo,https://deliveroo.co.uk/,Foodstuffs,Intermediaries,Ordering & Logistics - Food Handling,Yes,Yes,Yes,"Yes, but",No - if non-commercial,https://deliveroo.co.uk/legal,https://developers.deliveroo.com/partner-api/introduction,https://deliveroo.co.uk/robots.txt,Yes,Yes,29/08/20,Pivigo Team
DesignMyNight,https://www.designmynight.com/,Food Activities,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Yes,No,No mention,No,https://www.designmynight.com/terms-and-conditions,https://developers.designmynight.com/api/api-basics/,https://www.designmynight.com/robots.txt,No,Yes,29/08/20,Pivigo Team
EatHomemade,https://eathomemade.co.uk/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,Yes,No,No,Unclear,No - if non-commercial,https://eathomemade.co.uk/terms-and-conditions/,No Official API,https://eathomemade.co.uk/robots.txt,Yes,No,29/08/20,Pivigo Team
